//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.80300000,-8.18700000,-1.78049999,52,54,46,1.000000,1.000000,230.687876,49151.000000,1.000000
-6.80225000,-8.18650000,-1.77675002,93,97,86,1.000000,1.000000,230.687876,48758.000000,1.000000
-6.79325000,-8.17974999,-1.77750003,54,55,52,1.000000,1.000000,230.687876,48255.000000,1.000000
-6.80824998,-8.16175001,-1.78000002,31,42,12,1.000000,1.000000,230.502924,47491.000000,1.000000
-6.80499998,-8.16199999,-1.77950000,39,51,16,1.000000,1.000000,230.523477,47622.000000,1.000000
-6.79900000,-8.16100000,-1.77925002,55,70,30,1.000000,1.000000,230.544031,47775.000000,1.000000
-6.80674997,-8.16074999,-1.77600002,37,46,21,1.000000,1.000000,230.502924,48408.000000,1.000000
-6.80775002,-8.16124999,-1.77324998,43,52,24,1.000000,1.000000,230.502924,49194.000000,1.000000
-6.80249998,-8.15999999,-1.77474999,34,43,15,1.000000,1.000000,230.523477,47097.000000,1.000000
-6.80350003,-8.16074999,-1.77224999,42,50,25,1.000000,1.000000,230.523477,48692.000000,1.000000
-6.79274997,-8.15624999,-1.77249997,49,63,27,1.000000,1.000000,230.544031,47032.000000,1.000000
-6.78225002,-8.15800001,-1.77275001,50,57,51,1.000000,1.000000,230.605692,45568.000000,1.000000
-6.78449997,-8.15350001,-1.77100002,59,73,40,1.000000,1.000000,230.564585,47119.000000,1.000000
-6.77925000,-8.15925001,-1.76950001,75,80,77,1.000000,1.000000,230.626230,46005.000000,1.000000
-6.78099999,-8.15374999,-1.76950001,58,70,48,1.000000,1.000000,230.585138,47469.000000,1.000000
-6.80749998,-8.18624999,-1.76649999,136,146,135,1.000000,1.000000,230.667307,49151.000000,1.000000
-6.80649999,-8.18225001,-1.76275002,118,129,115,1.000000,1.000000,230.646753,49129.000000,1.000000
-6.80574998,-8.17924999,-1.76125001,112,123,109,1.000000,1.000000,230.626200,49347.000000,1.000000
-6.80149999,-8.18174999,-1.76600003,93,103,92,1.000000,1.000000,230.667307,48495.000000,1.000000
-6.80174998,-8.17849999,-1.76300000,71,79,68,1.000000,1.000000,230.646753,48976.000000,1.000000
-6.80350003,-8.17750000,-1.76275002,69,76,66,1.000000,1.000000,230.626215,48233.000000,1.000000
-6.79950002,-8.17674999,-1.76475000,51,59,46,1.000000,1.000000,230.646769,49020.000000,1.000000
-6.80099997,-8.18150001,-1.75950002,135,148,131,1.000000,1.000000,230.667307,50571.000000,1.000000
-6.79200003,-8.15575000,-1.76875000,43,56,28,1.000000,1.000000,230.544031,47119.000000,1.000000
-6.78550002,-8.15675001,-1.76600003,112,128,100,1.000000,1.000000,230.585123,45743.000000,1.000000
-6.78674999,-8.15525000,-1.76625001,74,89,58,1.000000,1.000000,230.564569,46245.000000,1.000000
